PARAMETRY SYMULACJI
Liczba kanałów (S):;10
Natężenie (Lambda):;2.0
Śr. rozmowa (N):;20
Odchylenie (Sigma):;5
Min dł. rozmowy:;15
Maks dł. rozmowy:;40
Długość kolejki:;10
Czas symulacji:;20

WYNIKI (KOLUMNY: Rho, Q, W)
Sekunda;Rho;Q;W
1;0.3;0;0.0
2;0.3;0;0.0
3;0.5;0;0.0
4;0.8;0;0.0
5;1.0;1;0.05
6;1.0;2;0.1
7;1.0;3;0.15000000000000002
8;1.0;6;0.30000000000000004
9;1.0;8;0.4
10;1.0;10;0.5
11;1.0;10;0.5
12;1.0;10;0.6
13;1.0;10;0.9
14;1.0;10;1.3
15;1.0;10;1.6
16;1.0;10;1.7000000000000002
17;1.0;10;1.7000000000000002
18;1.0;10;1.7000000000000002
19;1.0;10;1.9000000000000001
20;1.0;10;2.2
